begin timestamp : 1700706237.9571574; tag : query; duration : 0.1234731674194336; package_0 : 6731998.0; package_1 : 7816200.0; core_0 : 0.0; core_1 : 1068.0; nvidia_gpu_0 : 5734
begin timestamp : 1700706238.0836325; tag : query; duration : 0.1706852912902832; package_0 : 9357121.0; package_1 : 10788565.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7829
begin timestamp : 1700706238.25716; tag : query; duration : 0.16522455215454102; package_0 : 9044622.0; package_1 : 10471474.0; core_0 : 473.0; core_1 : 0.0; nvidia_gpu_0 : 7576
begin timestamp : 1700706238.4252558; tag : query; duration : 0.16378498077392578; package_0 : 8975640.0; package_1 : 10352080.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7523
begin timestamp : 1700706238.5923252; tag : query; duration : 0.13599348068237305; package_0 : 7585880.0; package_1 : 8576720.0; core_0 : 229.0; core_1 : 0.0; nvidia_gpu_0 : 6061
begin timestamp : 1700706238.7312322; tag : query; duration : 0.1441638469696045; package_0 : 7963486.0; package_1 : 9080036.0; core_0 : 839.0; core_1 : 458.0; nvidia_gpu_0 : 6448
begin timestamp : 1700706238.8782525; tag : query; duration : 0.14736127853393555; package_0 : 8048290.0; package_1 : 9284340.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6851
begin timestamp : 1700706239.028487; tag : query; duration : 0.16353654861450195; package_0 : 8926296.0; package_1 : 10354598.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7589
begin timestamp : 1700706239.1966047; tag : query; duration : 0.15609312057495117; package_0 : 8542222.0; package_1 : 9846567.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7247
begin timestamp : 1700706239.3570745; tag : query; duration : 0.15510869026184082; package_0 : 8484088.0; package_1 : 9780759.0; core_0 : 30.0; core_1 : 0.0; nvidia_gpu_0 : 7246
begin timestamp : 1700706239.517295; tag : query; duration : 0.16312384605407715; package_0 : 8920543.0; package_1 : 10290591.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7516
begin timestamp : 1700706239.6832657; tag : query; duration : 0.16167068481445312; package_0 : 8814333.0; package_1 : 10141749.0; core_0 : 0.0; core_1 : 336.0; nvidia_gpu_0 : 7522
begin timestamp : 1700706239.8478122; tag : query; duration : 0.16373348236083984; package_0 : 8979669.0; package_1 : 10364928.0; core_0 : 748.0; core_1 : 76.0; nvidia_gpu_0 : 7539
begin timestamp : 1700706240.0144048; tag : query; duration : 0.19150185585021973; package_0 : 10449258.0; package_1 : 12046542.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 8579
begin timestamp : 1700706240.2087736; tag : query; duration : 0.15486907958984375; package_0 : 8426292.0; package_1 : 9720506.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7149
