begin timestamp : 1692662515.1436188; tag : query; duration : 0.003665447235107422; package_0 : 461669.0; core_0 : 455870.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.1477497; tag : query; duration : 0.003687620162963867; package_0 : 363036.0; core_0 : 358703.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.15197; tag : query; duration : 0.0036516189575195312; package_0 : 359314.0; core_0 : 510253.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.1588461; tag : query; duration : 0.003919839859008789; package_0 : 309630.0; core_0 : 304992.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.1633139; tag : query; duration : 0.003683805465698242; package_0 : 461119.0; core_0 : 455321.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.1674643; tag : query; duration : 0.0036330223083496094; package_0 : 490722.0; core_0 : 484740.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.1718361; tag : query; duration : 0.0061190128326416016; package_0 : 670531.0; core_0 : 661193.0; uncore_0 : 0.0; nvidia_gpu_0 : 1509
begin timestamp : 1692662515.1970181; tag : query; duration : 0.0044443607330322266; package_0 : 138305.0; core_0 : 132202.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.2031248; tag : query; duration : 0.004889488220214844; package_0 : 511352.0; core_0 : 503966.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.2085626; tag : query; duration : 0.003738880157470703; package_0 : 389525.0; core_0 : 385070.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.2127697; tag : query; duration : 0.0037474632263183594; package_0 : 381652.0; core_0 : 377197.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.218766; tag : query; duration : 0.0038499832153320312; package_0 : 319213.0; core_0 : 314880.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.22308; tag : query; duration : 0.004510641098022461; package_0 : 488280.0; core_0 : 482299.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.2280636; tag : query; duration : 0.0038433074951171875; package_0 : 473936.0; core_0 : 468139.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.232376; tag : query; duration : 0.0036957263946533203; package_0 : 484191.0; core_0 : 478148.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.238909; tag : query; duration : 0.004216909408569336; package_0 : 379149.0; core_0 : 373351.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.2435944; tag : query; duration : 0.003648996353149414; package_0 : 380980.0; core_0 : 376525.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.2477179; tag : query; duration : 0.003673553466796875; package_0 : 381164.0; core_0 : 376708.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.2518525; tag : query; duration : 0.0036468505859375; package_0 : 500670.0; core_0 : 494567.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.2587512; tag : query; duration : 0.0038013458251953125; package_0 : 256042.0; core_0 : 251831.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.2631135; tag : query; duration : 0.003736734390258789; package_0 : 476439.0; core_0 : 470519.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.2673862; tag : query; duration : 0.0036857128143310547; package_0 : 499938.0; core_0 : 493834.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.2715442; tag : query; duration : 0.0066568851470947266; package_0 : 696531.0; core_0 : 687376.0; uncore_0 : 0.0; nvidia_gpu_0 : 1969
begin timestamp : 1692662515.2844913; tag : query; duration : 0.003914356231689453; package_0 : 226379.0; core_0 : 221862.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.2888741; tag : query; duration : 0.004085540771484375; package_0 : 489623.0; core_0 : 483703.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.2934277; tag : query; duration : 0.0036437511444091797; package_0 : 480895.0; core_0 : 474913.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.298503; tag : query; duration : 0.0038039684295654297; package_0 : 385009.0; core_0 : 380492.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.30278; tag : query; duration : 0.0036857128143310547; package_0 : 373839.0; core_0 : 481444.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.3069344; tag : query; duration : 0.0043790340423583984; package_0 : 522032.0; core_0 : 515928.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.3117783; tag : query; duration : 0.003787994384765625; package_0 : 587340.0; core_0 : 579711.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.318687; tag : query; duration : 0.0037453174591064453; package_0 : 284789.0; core_0 : 280395.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.3229167; tag : query; duration : 0.0039179325103759766; package_0 : 491942.0; core_0 : 486021.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.3273008; tag : query; duration : 0.0037353038787841797; package_0 : 493407.0; core_0 : 487487.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.3314996; tag : query; duration : 0.003653287887573242; package_0 : 425902.0; core_0 : 421202.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.338941; tag : query; duration : 0.004276275634765625; package_0 : 382873.0; core_0 : 376647.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.3437138; tag : query; duration : 0.0036602020263671875; package_0 : 429808.0; core_0 : 424010.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.347842; tag : query; duration : 0.0036835670471191406; package_0 : 497496.0; core_0 : 491393.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.3520043; tag : query; duration : 0.0037703514099121094; package_0 : 496093.0; core_0 : 490111.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.358591; tag : query; duration : 0.003944873809814453; package_0 : 395934.0; core_0 : 389769.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.3630912; tag : query; duration : 0.003825664520263672; package_0 : 504821.0; core_0 : 498900.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.3674526; tag : query; duration : 0.003712892532348633; package_0 : 381347.0; core_0 : 376891.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.371659; tag : query; duration : 0.006247282028198242; package_0 : 678587.0; core_0 : 669432.0; uncore_0 : 0.0; nvidia_gpu_0 : 1318
begin timestamp : 1692662515.3790126; tag : query; duration : 0.0038568973541259766; package_0 : 454406.0; core_0 : 448608.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.3833373; tag : query; duration : 0.003827810287475586; package_0 : 472838.0; core_0 : 466795.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.387634; tag : query; duration : 0.003671407699584961; package_0 : 383910.0; core_0 : 379454.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.3917744; tag : query; duration : 0.0038309097290039062; package_0 : 411925.0; core_0 : 407286.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.3986747; tag : query; duration : 0.0037910938262939453; package_0 : 435363.0; core_0 : 429198.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.402935; tag : query; duration : 0.0036482810974121094; package_0 : 361693.0; core_0 : 357360.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.4070532; tag : query; duration : 0.004453420639038086; package_0 : 479430.0; core_0 : 473632.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.4119687; tag : query; duration : 0.003701448440551758; package_0 : 469909.0; core_0 : 463988.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.418727; tag : query; duration : 0.004016876220703125; package_0 : 366759.0; core_0 : 360839.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.4232297; tag : query; duration : 0.004228115081787109; package_0 : 518981.0; core_0 : 512755.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.427928; tag : query; duration : 0.003720998764038086; package_0 : 454772.0; core_0 : 448913.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
