begin timestamp : 1700709316.4583793; tag : query; duration : 0.9364211559295654; package_0 : 81760481.0; package_1 : 80104881.0; core_0 : 535067.0; core_1 : 564592.0; nvidia_gpu_0 : 22975
begin timestamp : 1700709317.4024658; tag : query; duration : 0.8936600685119629; package_0 : 79318149.0; package_1 : 77808614.0; core_0 : 524478.0; core_1 : 557161.0; nvidia_gpu_0 : 21985
begin timestamp : 1700709318.3057327; tag : query; duration : 0.8273696899414062; package_0 : 73149735.0; package_1 : 71726729.0; core_0 : 490346.0; core_1 : 521122.0; nvidia_gpu_0 : 20518
begin timestamp : 1700709319.1486595; tag : query; duration : 0.9676117897033691; package_0 : 84770579.0; package_1 : 83544965.0; core_0 : 556948.0; core_1 : 594070.0; nvidia_gpu_0 : 23474
begin timestamp : 1700709320.1172907; tag : query; duration : 1.0921220779418945; package_0 : 96702351.0; package_1 : 95577867.0; core_0 : 648038.0; core_1 : 674709.0; nvidia_gpu_0 : 26418
begin timestamp : 1700709321.2178848; tag : query; duration : 1.2061002254486084; package_0 : 106541747.0; package_1 : 105374479.0; core_0 : 721887.0; core_1 : 763068.0; nvidia_gpu_0 : 29440
begin timestamp : 1700709322.4271178; tag : query; duration : 0.9178426265716553; package_0 : 80448751.0; package_1 : 79347505.0; core_0 : 531985.0; core_1 : 580323.0; nvidia_gpu_0 : 22067
begin timestamp : 1700709323.3481364; tag : query; duration : 0.8761265277862549; package_0 : 77700678.0; package_1 : 77449409.0; core_0 : 531742.0; core_1 : 554781.0; nvidia_gpu_0 : 21450
begin timestamp : 1700709324.2295334; tag : query; duration : 0.9689736366271973; package_0 : 84738660.0; package_1 : 83743960.0; core_0 : 560563.0; core_1 : 590195.0; nvidia_gpu_0 : 23973
begin timestamp : 1700709325.2146487; tag : query; duration : 1.11112642288208; package_0 : 97282673.0; package_1 : 95998789.0; core_0 : 654019.0; core_1 : 681301.0; nvidia_gpu_0 : 27354
begin timestamp : 1700709326.3384883; tag : query; duration : 0.7956178188323975; package_0 : 70618815.0; package_1 : 68351888.0; core_0 : 464057.0; core_1 : 511555.0; nvidia_gpu_0 : 19542
begin timestamp : 1700709327.141331; tag : query; duration : 0.9646868705749512; package_0 : 84427122.0; package_1 : 83525404.0; core_0 : 561220.0; core_1 : 591049.0; nvidia_gpu_0 : 23551
begin timestamp : 1700709328.109136; tag : query; duration : 0.9414982795715332; package_0 : 82699458.0; package_1 : 82443231.0; core_0 : 547991.0; core_1 : 575806.0; nvidia_gpu_0 : 22584
